t,x,error
58420.6562,0.000184354489,5.60107292E-05
58434.6562,0.000212514889,2.51725578E-04
58441.6562,0.000128615924,2.55520790E-05
58448.6562,0.000311837066,8.29182172E-05
58455.6562,0.000318247941,1.30385350E-04
58462.6562,0.00019742336,4.27935556E-05
58469.6562,0.000261277601,5.38318454E-05
58476.6562,0.000196693378,4.54354886E-05
58483.6562,0.000154676411,4.52107779E-05
58490.6562,0.000162910292,3.29952345E-05
58497.6562,0.000334137236,1.05498635E-04
58504.6562,0.000122753525,3.43071697E-05
58511.6562,8.30488425E-05,7.25215650E-05
58518.6562,8.16548491E-05,3.05614260E-04
58525.6562,7.99867994E-05,1.75919326E-04
58532.6562,0.000390666013,9.50082103E-05
58539.6562,0.000287179078,1.11230947E-04
58546.6562,0.000251858612,1.25845690E-04
58553.6562,0.000325446948,7.97208995E-05

